dataset_id,stratum,base_seed,lambda,n_samples,n_variables,mechanism,noise,edge_count,dataset_path,base_spec_path
router_ood_student_t_seed_2007_lambda_0p50,router_ood_student_t,2007,0.5,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2007_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2007.npz
router_ood_student_t_seed_2007_lambda_0p75,router_ood_student_t,2007,0.75,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2007_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2007.npz
router_ood_student_t_seed_2007_lambda_1p00,router_ood_student_t,2007,1.0,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2007_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2007.npz
router_ood_student_t_seed_2008_lambda_0p00,router_ood_student_t,2008,0.0,1000,10,rff,student_t_df3,9,data/synthetic/datasets/router_ood_student_t_seed_2008_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2008.npz
router_ood_student_t_seed_2008_lambda_0p25,router_ood_student_t,2008,0.25,1000,10,rff,student_t_df3,9,data/synthetic/datasets/router_ood_student_t_seed_2008_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2008.npz
router_ood_student_t_seed_2008_lambda_0p50,router_ood_student_t,2008,0.5,1000,10,rff,student_t_df3,9,data/synthetic/datasets/router_ood_student_t_seed_2008_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2008.npz
router_ood_student_t_seed_2008_lambda_0p75,router_ood_student_t,2008,0.75,1000,10,rff,student_t_df3,9,data/synthetic/datasets/router_ood_student_t_seed_2008_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2008.npz
router_ood_student_t_seed_2008_lambda_1p00,router_ood_student_t,2008,1.0,1000,10,rff,student_t_df3,9,data/synthetic/datasets/router_ood_student_t_seed_2008_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2008.npz
router_ood_student_t_seed_2009_lambda_0p00,router_ood_student_t,2009,0.0,1000,10,rff,student_t_df3,7,data/synthetic/datasets/router_ood_student_t_seed_2009_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2009.npz
router_ood_student_t_seed_2009_lambda_0p25,router_ood_student_t,2009,0.25,1000,10,rff,student_t_df3,7,data/synthetic/datasets/router_ood_student_t_seed_2009_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2009.npz
router_ood_student_t_seed_2009_lambda_0p50,router_ood_student_t,2009,0.5,1000,10,rff,student_t_df3,7,data/synthetic/datasets/router_ood_student_t_seed_2009_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2009.npz
router_ood_student_t_seed_2009_lambda_0p75,router_ood_student_t,2009,0.75,1000,10,rff,student_t_df3,7,data/synthetic/datasets/router_ood_student_t_seed_2009_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2009.npz
router_ood_student_t_seed_2009_lambda_1p00,router_ood_student_t,2009,1.0,1000,10,rff,student_t_df3,7,data/synthetic/datasets/router_ood_student_t_seed_2009_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2009.npz
router_ood_student_t_seed_2010_lambda_0p00,router_ood_student_t,2010,0.0,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2010_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2010.npz
router_ood_student_t_seed_2010_lambda_0p25,router_ood_student_t,2010,0.25,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2010_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2010.npz
router_ood_student_t_seed_2010_lambda_0p50,router_ood_student_t,2010,0.5,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2010_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2010.npz
router_ood_student_t_seed_2010_lambda_0p75,router_ood_student_t,2010,0.75,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2010_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2010.npz
router_ood_student_t_seed_2010_lambda_1p00,router_ood_student_t,2010,1.0,1000,10,rff,student_t_df3,11,data/synthetic/datasets/router_ood_student_t_seed_2010_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2010.npz
router_ood_student_t_seed_2011_lambda_0p00,router_ood_student_t,2011,0.0,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2011_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2011.npz
router_ood_student_t_seed_2011_lambda_0p25,router_ood_student_t,2011,0.25,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2011_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2011.npz
router_ood_student_t_seed_2011_lambda_0p50,router_ood_student_t,2011,0.5,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2011_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2011.npz
router_ood_student_t_seed_2011_lambda_0p75,router_ood_student_t,2011,0.75,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2011_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2011.npz
router_ood_student_t_seed_2011_lambda_1p00,router_ood_student_t,2011,1.0,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2011_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2011.npz
router_ood_student_t_seed_2012_lambda_0p00,router_ood_student_t,2012,0.0,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2012_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2012.npz
router_ood_student_t_seed_2012_lambda_0p25,router_ood_student_t,2012,0.25,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2012_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2012.npz
router_ood_student_t_seed_2012_lambda_0p50,router_ood_student_t,2012,0.5,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2012_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2012.npz
router_ood_student_t_seed_2012_lambda_0p75,router_ood_student_t,2012,0.75,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2012_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2012.npz
router_ood_student_t_seed_2012_lambda_1p00,router_ood_student_t,2012,1.0,1000,10,rff,student_t_df3,8,data/synthetic/datasets/router_ood_student_t_seed_2012_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2012.npz
router_ood_student_t_seed_2013_lambda_0p00,router_ood_student_t,2013,0.0,1000,10,rff,student_t_df3,9,data/synthetic/datasets/router_ood_student_t_seed_2013_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2013.npz
router_ood_student_t_seed_2013_lambda_0p25,router_ood_student_t,2013,0.25,1000,10,rff,student_t_df3,9,data/synthetic/datasets/router_ood_student_t_seed_2013_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2013.npz
router_ood_student_t_seed_2013_lambda_0p50,router_ood_student_t,2013,0.5,1000,10,rff,student_t_df3,9,data/synthetic/datasets/router_ood_student_t_seed_2013_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2013.npz
router_ood_student_t_seed_2013_lambda_0p75,router_ood_student_t,2013,0.75,1000,10,rff,student_t_df3,9,data/synthetic/datasets/router_ood_student_t_seed_2013_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2013.npz
router_ood_student_t_seed_2013_lambda_1p00,router_ood_student_t,2013,1.0,1000,10,rff,student_t_df3,9,data/synthetic/datasets/router_ood_student_t_seed_2013_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2013.npz
router_ood_student_t_seed_2014_lambda_0p00,router_ood_student_t,2014,0.0,1000,10,rff,student_t_df3,12,data/synthetic/datasets/router_ood_student_t_seed_2014_lambda_0p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2014.npz
router_ood_student_t_seed_2014_lambda_0p25,router_ood_student_t,2014,0.25,1000,10,rff,student_t_df3,12,data/synthetic/datasets/router_ood_student_t_seed_2014_lambda_0p25.npz,data/synthetic/base_specs/router_ood_student_t_seed_2014.npz
router_ood_student_t_seed_2014_lambda_0p50,router_ood_student_t,2014,0.5,1000,10,rff,student_t_df3,12,data/synthetic/datasets/router_ood_student_t_seed_2014_lambda_0p50.npz,data/synthetic/base_specs/router_ood_student_t_seed_2014.npz
router_ood_student_t_seed_2014_lambda_0p75,router_ood_student_t,2014,0.75,1000,10,rff,student_t_df3,12,data/synthetic/datasets/router_ood_student_t_seed_2014_lambda_0p75.npz,data/synthetic/base_specs/router_ood_student_t_seed_2014.npz
router_ood_student_t_seed_2014_lambda_1p00,router_ood_student_t,2014,1.0,1000,10,rff,student_t_df3,12,data/synthetic/datasets/router_ood_student_t_seed_2014_lambda_1p00.npz,data/synthetic/base_specs/router_ood_student_t_seed_2014.npz
scale_ood_n40_d10_seed_3000_lambda_0p00,scale_ood_n40_d10,3000,0.0,40,10,rff,laplace,11,data/synthetic/datasets/scale_ood_n40_d10_seed_3000_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3000.npz
scale_ood_n40_d10_seed_3000_lambda_1p00,scale_ood_n40_d10,3000,1.0,40,10,rff,laplace,11,data/synthetic/datasets/scale_ood_n40_d10_seed_3000_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3000.npz
scale_ood_n40_d10_seed_3001_lambda_0p00,scale_ood_n40_d10,3001,0.0,40,10,rff,laplace,11,data/synthetic/datasets/scale_ood_n40_d10_seed_3001_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3001.npz
scale_ood_n40_d10_seed_3001_lambda_1p00,scale_ood_n40_d10,3001,1.0,40,10,rff,laplace,11,data/synthetic/datasets/scale_ood_n40_d10_seed_3001_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3001.npz
scale_ood_n40_d10_seed_3002_lambda_0p00,scale_ood_n40_d10,3002,0.0,40,10,rff,laplace,10,data/synthetic/datasets/scale_ood_n40_d10_seed_3002_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3002.npz
scale_ood_n40_d10_seed_3002_lambda_1p00,scale_ood_n40_d10,3002,1.0,40,10,rff,laplace,10,data/synthetic/datasets/scale_ood_n40_d10_seed_3002_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3002.npz
scale_ood_n40_d10_seed_3003_lambda_0p00,scale_ood_n40_d10,3003,0.0,40,10,rff,laplace,9,data/synthetic/datasets/scale_ood_n40_d10_seed_3003_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3003.npz
scale_ood_n40_d10_seed_3003_lambda_1p00,scale_ood_n40_d10,3003,1.0,40,10,rff,laplace,9,data/synthetic/datasets/scale_ood_n40_d10_seed_3003_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3003.npz
scale_ood_n40_d10_seed_3004_lambda_0p00,scale_ood_n40_d10,3004,0.0,40,10,rff,laplace,12,data/synthetic/datasets/scale_ood_n40_d10_seed_3004_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3004.npz
scale_ood_n40_d10_seed_3004_lambda_1p00,scale_ood_n40_d10,3004,1.0,40,10,rff,laplace,12,data/synthetic/datasets/scale_ood_n40_d10_seed_3004_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3004.npz
scale_ood_n40_d10_seed_3005_lambda_0p00,scale_ood_n40_d10,3005,0.0,40,10,rff,laplace,13,data/synthetic/datasets/scale_ood_n40_d10_seed_3005_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3005.npz
scale_ood_n40_d10_seed_3005_lambda_1p00,scale_ood_n40_d10,3005,1.0,40,10,rff,laplace,13,data/synthetic/datasets/scale_ood_n40_d10_seed_3005_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3005.npz
scale_ood_n40_d10_seed_3006_lambda_0p00,scale_ood_n40_d10,3006,0.0,40,10,rff,laplace,9,data/synthetic/datasets/scale_ood_n40_d10_seed_3006_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3006.npz
scale_ood_n40_d10_seed_3006_lambda_1p00,scale_ood_n40_d10,3006,1.0,40,10,rff,laplace,9,data/synthetic/datasets/scale_ood_n40_d10_seed_3006_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3006.npz
scale_ood_n40_d10_seed_3007_lambda_0p00,scale_ood_n40_d10,3007,0.0,40,10,rff,laplace,19,data/synthetic/datasets/scale_ood_n40_d10_seed_3007_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3007.npz
scale_ood_n40_d10_seed_3007_lambda_1p00,scale_ood_n40_d10,3007,1.0,40,10,rff,laplace,19,data/synthetic/datasets/scale_ood_n40_d10_seed_3007_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3007.npz
scale_ood_n40_d10_seed_3008_lambda_0p00,scale_ood_n40_d10,3008,0.0,40,10,rff,laplace,9,data/synthetic/datasets/scale_ood_n40_d10_seed_3008_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3008.npz
scale_ood_n40_d10_seed_3008_lambda_1p00,scale_ood_n40_d10,3008,1.0,40,10,rff,laplace,9,data/synthetic/datasets/scale_ood_n40_d10_seed_3008_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3008.npz
scale_ood_n40_d10_seed_3009_lambda_0p00,scale_ood_n40_d10,3009,0.0,40,10,rff,laplace,8,data/synthetic/datasets/scale_ood_n40_d10_seed_3009_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3009.npz
scale_ood_n40_d10_seed_3009_lambda_1p00,scale_ood_n40_d10,3009,1.0,40,10,rff,laplace,8,data/synthetic/datasets/scale_ood_n40_d10_seed_3009_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_n40_d10_seed_3009.npz
scale_ood_d120_n1000_seed_4000_lambda_0p00,scale_ood_d120_n1000,4000,0.0,1000,120,rff,laplace,125,data/synthetic/datasets/scale_ood_d120_n1000_seed_4000_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4000.npz
scale_ood_d120_n1000_seed_4000_lambda_1p00,scale_ood_d120_n1000,4000,1.0,1000,120,rff,laplace,125,data/synthetic/datasets/scale_ood_d120_n1000_seed_4000_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4000.npz
scale_ood_d120_n1000_seed_4001_lambda_0p00,scale_ood_d120_n1000,4001,0.0,1000,120,rff,laplace,141,data/synthetic/datasets/scale_ood_d120_n1000_seed_4001_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4001.npz
scale_ood_d120_n1000_seed_4001_lambda_1p00,scale_ood_d120_n1000,4001,1.0,1000,120,rff,laplace,141,data/synthetic/datasets/scale_ood_d120_n1000_seed_4001_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4001.npz
scale_ood_d120_n1000_seed_4002_lambda_0p00,scale_ood_d120_n1000,4002,0.0,1000,120,rff,laplace,119,data/synthetic/datasets/scale_ood_d120_n1000_seed_4002_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4002.npz
scale_ood_d120_n1000_seed_4002_lambda_1p00,scale_ood_d120_n1000,4002,1.0,1000,120,rff,laplace,119,data/synthetic/datasets/scale_ood_d120_n1000_seed_4002_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4002.npz
scale_ood_d120_n1000_seed_4003_lambda_0p00,scale_ood_d120_n1000,4003,0.0,1000,120,rff,laplace,132,data/synthetic/datasets/scale_ood_d120_n1000_seed_4003_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4003.npz
scale_ood_d120_n1000_seed_4003_lambda_1p00,scale_ood_d120_n1000,4003,1.0,1000,120,rff,laplace,132,data/synthetic/datasets/scale_ood_d120_n1000_seed_4003_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4003.npz
scale_ood_d120_n1000_seed_4004_lambda_0p00,scale_ood_d120_n1000,4004,0.0,1000,120,rff,laplace,123,data/synthetic/datasets/scale_ood_d120_n1000_seed_4004_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4004.npz
scale_ood_d120_n1000_seed_4004_lambda_1p00,scale_ood_d120_n1000,4004,1.0,1000,120,rff,laplace,123,data/synthetic/datasets/scale_ood_d120_n1000_seed_4004_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4004.npz
scale_ood_d120_n1000_seed_4005_lambda_0p00,scale_ood_d120_n1000,4005,0.0,1000,120,rff,laplace,111,data/synthetic/datasets/scale_ood_d120_n1000_seed_4005_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4005.npz
scale_ood_d120_n1000_seed_4005_lambda_1p00,scale_ood_d120_n1000,4005,1.0,1000,120,rff,laplace,111,data/synthetic/datasets/scale_ood_d120_n1000_seed_4005_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4005.npz
scale_ood_d120_n1000_seed_4006_lambda_0p00,scale_ood_d120_n1000,4006,0.0,1000,120,rff,laplace,109,data/synthetic/datasets/scale_ood_d120_n1000_seed_4006_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4006.npz
scale_ood_d120_n1000_seed_4006_lambda_1p00,scale_ood_d120_n1000,4006,1.0,1000,120,rff,laplace,109,data/synthetic/datasets/scale_ood_d120_n1000_seed_4006_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4006.npz
scale_ood_d120_n1000_seed_4007_lambda_0p00,scale_ood_d120_n1000,4007,0.0,1000,120,rff,laplace,116,data/synthetic/datasets/scale_ood_d120_n1000_seed_4007_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4007.npz
scale_ood_d120_n1000_seed_4007_lambda_1p00,scale_ood_d120_n1000,4007,1.0,1000,120,rff,laplace,116,data/synthetic/datasets/scale_ood_d120_n1000_seed_4007_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4007.npz
scale_ood_d120_n1000_seed_4008_lambda_0p00,scale_ood_d120_n1000,4008,0.0,1000,120,rff,laplace,113,data/synthetic/datasets/scale_ood_d120_n1000_seed_4008_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4008.npz
scale_ood_d120_n1000_seed_4008_lambda_1p00,scale_ood_d120_n1000,4008,1.0,1000,120,rff,laplace,113,data/synthetic/datasets/scale_ood_d120_n1000_seed_4008_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4008.npz
scale_ood_d120_n1000_seed_4009_lambda_0p00,scale_ood_d120_n1000,4009,0.0,1000,120,rff,laplace,104,data/synthetic/datasets/scale_ood_d120_n1000_seed_4009_lambda_0p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4009.npz
scale_ood_d120_n1000_seed_4009_lambda_1p00,scale_ood_d120_n1000,4009,1.0,1000,120,rff,laplace,104,data/synthetic/datasets/scale_ood_d120_n1000_seed_4009_lambda_1p00.npz,data/synthetic/base_specs/scale_ood_d120_n1000_seed_4009.npz
